founder_name,company_name,linkedin_url,l_level,confidence_score,reasoning,evidence,verification_sources,timestamp
Zhou Xian,Genesis AI,https://www.linkedin.com/in/zhou-xian-588128150,L3,0.68,"The founder has strong technical credentials with a PhD in Robotics from Carnegie Mellon University, one of the world's top institutions for robotics and AI research. This indicates deep technical expertise and research capabilities in a highly relevant field for their current AI venture. The PhD credential alone places them at minimum in the L3 category as a technical veteran, though without more information about work experience or company traction, we cannot justify a higher classification. Carnegie Mellon's robotics program typically requires 4-6 years of advanced research work, providing substantial technical depth.",,,
Donglai Xiang,Genesis AI,https://www.linkedin.com/in/donglai-xiang,L3,0.68,"The founder demonstrates strong technical credentials with a PhD in Robotics from Carnegie Mellon University (a top institution in the field) and current position as a Research Scientist at NVIDIA (a leading AI/tech company). This combination of advanced technical education and experience at a major tech company places them at L3 as a Technical Veteran. While they show strong technical expertise, there's no evidence yet of startup exits, major management roles, or significant entrepreneurial track record that would justify a higher classification.",,,
Theophile Gervet,Genesis AI,https://fr.linkedin.com/in/theophile-gervet,L3,0.68,"Theophile Gervet demonstrates strong technical credentials and experience at notable AI companies that places him at the L3 (Technical and Management Veterans) level. His PhD in Machine Learning from Carnegie Mellon University (a top institution) combined with experience at significant AI companies like Meta AI and Mistral AI (a prominent European AI startup) shows deep technical expertise. While he's now a co-founder at Genesis AI, there isn't enough evidence yet of major exits or significant company scaling to justify a higher classification. His profile aligns well with the L3 criteria of having advanced technical expertise and experience at high-growth companies.",,,
Rajiv Kumar Jonnakuti,Genesis AI,https://in.linkedin.com/in/rajiv-kumar-jonnakuti-9379a722b,L1,0.68,"Based on the available information, this appears to be a first-time founder with minimal documented professional experience. The profile shows only one role (current founder position) with no prior work experience listed, no educational background provided, and no evidence of previous entrepreneurial ventures or significant corporate experience. The company (Genesis AI Innovations) appears to be in its early stages with no documented funding rounds, scale metrics, or major client wins. The LinkedIn profile is relatively new (based on profile URL format) and lacks comprehensive details typically associated with more experienced professionals.",,,
Yi-Ling Qiao,Genesis AI,https://www.linkedin.com/in/yi-ling-qiao-052214113,L3,0.68,"Yi-Ling Qiao demonstrates strong technical credentials with a PhD in Computer Science from a reputable institution (University of Maryland) and is currently working as a technical founder. The PhD in Computer Science, particularly in a relevant technical field, meets one of the key criteria for L3 classification as a Technical Veteran. While they are early in their entrepreneurial journey with Genesis AI, their advanced technical education provides a strong foundation for technical leadership. The classification as L3 is supported primarily by their academic achievements, though they are likely at the earlier stage of this classification level.",,,
Tamay Besiroglu,Mechanize,https://www.linkedin.com/in/tamay-besiroglu,L2,0.6400000000000001,"Tamay Besiroglu shows characteristics of an early-stage entrepreneur with strong academic credentials and early entrepreneurial activity. His MPhil from Cambridge indicates strong intellectual capability, and he's taken the step to found Mechanize as CEO. The classification as L2 is based on his profile matching the 'Early-Stage Entrepreneurs' category with evidence of academic excellence and initial founder experience, though still early in his entrepreneurial journey.",,,
Matthew Barnett,Mechanize,https://www.linkedin.com/in/matthew-barnett-4aa7b81a7,L1,0.68,"Based on the available information, Matthew Barnett appears to be a nascent founder with a strong educational background but limited professional experience. His profile shows he's a recent UC Berkeley Computer Science graduate who has founded Mechanize Inc. The lack of prior work experience and the fact that this appears to be his first venture places him squarely in the L1 category as a first-time founder. While his Berkeley CS degree provides strong technical foundation, there's no evidence yet of significant entrepreneurial achievements or prior company-building experience.",,,
Jenny Wang,Alta,https://www.linkedin.com/in/jwang15,L2,0.6400000000000001,"Jenny Wang shows characteristics of an early-stage entrepreneur with promising signals but limited concrete operational track record. Her Harvard CS background and significant media coverage in top-tier publications (Vogue, WSJ, Forbes) indicate strong potential. Her angel investment portfolio suggests good network access and startup ecosystem understanding. However, Alta appears to be her first major founding role, placing her in the early-stage founder category with signs of momentum.",,,
Cole Sterrett,Alta,https://www.linkedin.com/in/cole-sterrett-86717bab,L1,0.68,"Based on the available information, Cole Sterrett appears to be a nascent founder with limited professional experience. The profile shows only one professional role as Co-Founder at Alta, with no prior work experience listed. Combined with his education in Finance from University of Pittsburgh, this suggests he is likely a first-time founder early in his entrepreneurial journey. The lack of extensive work history and the single founder role aligns with the L1 classification criteria for new entrepreneurs with minimal experience but showing entrepreneurial initiative.",,,
Misha Laskin,Reflection AI,https://www.linkedin.com/in/mishalaskin,L2,0.6400000000000001,"Misha Laskin appears to be an early-stage entrepreneur with strong academic credentials but limited entrepreneurial track record. His current role as CEO of ReflectionAI represents his first major founder position. The Yale physics degree suggests strong technical capabilities, but without extensive work history or proven exits, he fits best in the L2 category as an early-stage entrepreneur showing promise. The physics background from Yale indicates strong analytical capabilities relevant to AI/tech entrepreneurship, but there's no evidence yet of significant scale or exits that would justify a higher classification.",,,
Ioannis Alexandros Antonoglou,Reflection AI,https://www.linkedin.com/in/ioannis-alexandros-antonoglou-45393253,L3,0.68,"Ioannis Antonoglou demonstrates strong technical credentials with a PhD in Artificial Intelligence from UCL, a prestigious institution. His background suggests significant technical expertise and research experience. While currently a co-founder and CTO of ReflectionAI, his profile indicates he's a technical veteran with deep AI expertise. The L3 classification is supported by his advanced academic credentials and technical leadership role, fitting the 'Technical and Management Veterans' category. However, there isn't sufficient evidence of prior exits or scale achievements that would warrant a higher classification.",,,
Alex Frenkel,Kai Ai,https://il.linkedin.com/in/thefrenkel,L2,0.6400000000000001,"Alex Frenkel appears to be an early-stage entrepreneur with some professional experience but limited concrete evidence of major scale or exits. While he mentions 10 years of experience in the Israeli tech space and product management roles, the profile lacks specific details about previous companies, achievements, or exits. His current venture Kai.ai appears to be an early-stage startup in the mental health/therapy space. His background in Clinical Psychology (MA) provides relevant domain expertise for his current venture, but from an entrepreneurial track record perspective, this appears to be his first significant founder role.",,,
Kai AI,Kai Ai,https://fr.linkedin.com/in/kai-ai-42bb70346,L1,0.68,"Based on the extremely limited profile information and apparent early-stage nature of their current venture, this appears to be a nascent founder with minimal verifiable experience. The profile shows only one role as CEO of their current company KAI, with no prior work experience, education details, or skills listed. The company description suggests it's a very early-stage venture (pre-launch with 10,000 beta spots available at €2), which aligns with L1 classification of first-time founders with minimal experience.",,,
Christopher Jones,Kai Ai,https://www.linkedin.com/in/christopher-jones-5ab0782a3,L1,0.6400000000000001,"Based on the extremely limited information available, this appears to be a first-time founder with minimal documented professional experience. The only role listed is their current position as Co-Founder & COO at Kai AI Data Processing Inc. There is no education history, no prior work experience, and no skills listed. The LinkedIn profile appears to be relatively new (based on the profile URL format with random numbers). This pattern is typical of nascent founders just beginning their entrepreneurial journey.",,,
Ethan Thornton,Mach Industries,https://www.linkedin.com/in/ethan-thornton-74417024a,L1,0.68,"Based on the available information, this appears to be a nascent founder with strong academic credentials but limited professional experience. The MIT education in Aeronautical Engineering suggests strong technical potential, but there's no substantial work history or entrepreneurial track record shown. The current role at Mach Industries appears to be their first significant professional position, fitting the L1 profile of a recent graduate or first-time founder with <2 years professional experience.",,,
Nathaniel Manning,LGND,https://www.linkedin.com/in/nathanielmanning,L4,0.6400000000000001,"Nathaniel Manning demonstrates a pattern of founding multiple companies with meaningful traction and impact. As co-founder of Kettle (a climate risk modeling company) and LGND AI, he shows experience in building technology companies addressing significant problems. His background includes both entrepreneurial and policy expertise, particularly in climate tech and sustainability. The classification as L4 is supported by his successful track record of launching and scaling ventures, though without clear evidence of major exits or unicorn-level valuations that would justify a higher classification.",,,
Bruno Sanchez-Andrade Nuño,LGND,https://dk.linkedin.com/in/nasonurb,L3,0.68,"Bruno Sanchez-Andrade Nuño demonstrates strong technical and management experience with a PhD in Astrophysics and significant senior roles at notable technology companies. His profile aligns with L3 'Technical and Management Veterans' classification due to his combination of advanced technical education, leadership positions at established companies like Microsoft and Mapbox, and current entrepreneurial venture. While impressive, there's no clear evidence of exits or major company scaling that would qualify for L4 or higher. His experience is primarily in technical leadership and innovation roles rather than proven entrepreneurial exits.",,,
Patrick Sims,LGND,https://www.linkedin.com/in/patricksims,L2,0.6000000000000001,"Based on available information, Patrick Sims appears to be an early-stage entrepreneur who has founded LGND and LGNDX. While he has established multiple ventures, there's limited public information about significant exits, major funding rounds, or scale achievements. His background in International Finance from James Madison University and current role as founder shows entrepreneurial initiative, but places him in the early-stage category without evidence of major scale or exits.",,,
Mark McQuade,Arcee.ai,https://www.linkedin.com/in/mark-mcquade,L3,0.68,"Mark McQuade demonstrates strong technical and management experience spanning over 15 years across telecommunications, cloud computing, and AI/ML. His progression from engineering roles to leadership positions at notable companies like Hugging Face (as an early monetization team member) and Roboflow shows steady career advancement. While he's now a first-time founder with Arcee.ai, his extensive technical background, experience at AI-focused companies, and leadership roles in field engineering and partnerships qualify him as a Technical and Management Veteran (L3). His experience working with enterprise clients and deep understanding of the AI/ML space provides relevant domain expertise for his current venture. However, he doesn't yet have the proven exits or scale achievements needed for L4 or higher classification.",,,
Brian Benedict,Arcee.ai,https://www.linkedin.com/in/benedictbrian,L2,0.6400000000000001,"Based on the available information, Brian Benedict appears to be an early-stage entrepreneur with sales experience who is now co-founding Arcee.ai. While he has professional experience in sales and business development, there's no clear evidence of prior successful exits, major funding rounds, or significant scale achievements. His current venture Arcee.ai is in the emerging AI/ML space, and his role as Co-Founder + CRO suggests he's leveraging his sales background in a founder capacity. His previous experience at Hugging Face (a notable AI company) provides relevant industry experience, but this appears to be his first founder role, placing him in the L2 category as an early-stage entrepreneur showing promise but without proven entrepreneurial outcomes yet.",,,
Drishan Arora,Deep Cogito,https://www.linkedin.com/in/drishanarora,L1,0.68,"Based on the available information, this appears to be a first-time founder with a strong educational background but limited professional track record. The founder has a Master's degree in Computer Science from Columbia University, which provides technical credibility, but is currently working on their first startup (Deep Cogito) with no prior founding or significant industry experience listed. The ambitious goal of 'building general superintelligence' suggests early-stage entrepreneurial ambition, fitting the L1 'Nascent Founders with Potential' profile. The lack of prior work experience or achievements in the profile, combined with the academic background, strongly suggests this is an early-career founder.",,,
Dhruv Malrana,Deep Cogito,https://www.linkedin.com/in/drvdhruv,L1,0.68,"Based on the available information, this appears to be a first-time founder with strong academic credentials (IIT Delhi) but limited professional track record. While the founder claims DeepMind experience in their title ('ex-DeepMind'), this isn't detailed in the experience section, making it difficult to verify. The current venture Deep Cogito appears to be their first founding experience. The academic background from IIT Delhi (a top technical institution) shows strong potential, but without clear evidence of significant professional achievements or prior startup experience, a conservative L1 classification is most appropriate.",,,
Akash Sharma,Vellum.ai,https://www.linkedin.com/in/akash-sharma53,L2,0.6400000000000001,"Based on available information, Akash Sharma appears to be an early-stage entrepreneur with some foundational experience. His current role as CEO/Founder of Vellum.ai, combined with his education from UC Berkeley in Business Administration and Industrial Engineering, suggests he has the technical and business foundation typical of an L2 founder. The company focus on AI systems indicates technical sophistication, but without clear evidence of significant funding rounds, exits, or extensive prior experience, a conservative L2 classification is appropriate. His Berkeley education from a top engineering program provides a strong foundation, but the limited work history data suggests this is likely one of his first entrepreneurial ventures.",,,
Noa Flaherty,Vellum.ai,https://www.linkedin.com/in/noaflaherty,L2,0.68,"Noa Flaherty fits the L2 (Early-Stage Entrepreneur) profile based on several key factors: 1) They are a recent Y Combinator graduate (W23 batch), which is a strong signal of early promise and potential, 2) They are currently leading their first significant venture as CTO/co-founder of Vellum.ai, 3) The company is in its early stages, having gone through YC recently, 4) Their background shows breadth across technical and business roles, but doesn't yet demonstrate the depth of experience or exits that would qualify for L3 or higher. The YC acceptance and current founder role at an AI company shows promise, but they are still in the early phases of their entrepreneurial journey.",,,
Harrison Chase,LangChain,https://www.linkedin.com/in/harrison-chase-961287118,L2,0.68,"Harrison Chase fits the L2 (Early-Stage Entrepreneur) profile based on his role as co-founder of LangChain, which has shown significant early traction in the AI/ML space. LangChain has become a notable open-source project in the LLM ecosystem and has raised seed funding. His Harvard education and technical background in machine learning provide a strong foundation, but this appears to be his first major founding role. The rapid growth and adoption of LangChain in the developer community shows early promise, but without a longer track record of exits or scale achievements, L2 is the most appropriate classification.",,,
Lucas Young,Deepnight,https://uk.linkedin.com/in/pr0fess0r,L4,0.6400000000000001,"The founder demonstrates significant technical and operational experience across multiple domains, with notable achievements including co-founding HERB (formerly The Stoner's Cookbook), which became 'the web's largest online cannabis community'. Their experience spans both technical leadership (CTO roles) and enterprise work (Hasbro development projects). The combination of technical depth (25+ years of programming experience), enterprise client work, and successful community platform building places them solidly at L4. While they've shown ability to scale platforms and lead technical teams, there's no clear evidence of major exits >$100M or unicorn-level growth that would justify a higher classification.",,,
Thomas Li,Deepnight,https://www.linkedin.com/in/thomas-h-li,L2,0.68,"Thomas Li shows characteristics of an early-stage entrepreneur with strong technical education and Y Combinator backing. As a current YC W24 batch founder with a Berkeley EECS degree, he fits the L2 profile of showing early promise through accelerator participation and technical capabilities. The YC acceptance itself is a strong signal of potential, as it's highly selective. His background from Berkeley EECS (a top engineering program) provides technical foundation, but with limited prior professional experience shown, he cannot be classified at higher levels that require proven execution or exits.",,,
Will Bryk,Exa,https://www.linkedin.com/in/william-bryk,L2,0.68,"Will Bryk shows characteristics of an early-stage entrepreneur with strong educational credentials and early traction. As CEO/Co-founder of Exa, he has demonstrated initial entrepreneurial execution by raising seed funding and building an initial product. His Harvard degree in Computer Science and Physics provides strong technical foundation. The company has shown early promise with seed funding from notable investors including Y Combinator (YC W23 batch). While still early in his entrepreneurial journey, his academic background and acceptance into YC place him above L1 but his limited professional track record keeps him at L2.",,,
Will Bryk,Exa,https://www.linkedin.com/in/will-bryk-963953362,L1,0.68,"Based on the available information, Will Bryk appears to be a first-time founder/CEO at Exa with limited prior professional experience shown. The minimal LinkedIn profile with only one role listed (current CEO position) and no education details suggests this is likely his first venture. The profile structure and limited history is consistent with a nascent founder at the beginning of their entrepreneurial journey. The confidence score is relatively high for an L1 classification specifically because the limited profile data itself is strong evidence of early-stage experience level - established founders typically maintain more complete professional profiles.",,,
Elias Almqvist,Exa,https://www.linkedin.com/in/almqv,L2,0.68,"The founder shows early-stage entrepreneurial characteristics typical of L2 classification. They are currently leading a YC-backed company (Exa Laboratories, YC S24) which demonstrates early validation from a prestigious accelerator. The founder appears to be relatively early in their entrepreneurial journey, with Exa being their first significant venture. Their acceptance into Y Combinator suggests promising potential and basic validation of their capabilities, but there isn't evidence yet of significant scale or prior exits that would warrant a higher classification.",,,
Hightime Deals,Hightime AI,https://in.linkedin.com/in/hightime-deals-219098203,INSUFFICIENT_DATA,0.16000000000000003,"The available profile information is extremely limited and lacks critical details needed for proper classification. The LinkedIn profile appears to be a placeholder or incomplete profile with minimal professional information. There's no verifiable work history, educational background, or concrete achievements that could be used to make a meaningful assessment. The profile name 'Hightime Deals' appears to be a company name rather than an individual's name, raising questions about the authenticity of the profile.",,,
Alexandre R.,Crossing Minds,https://www.linkedin.com/in/alexandrerobicquet,L3,0.68,"Alexandre R. demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His background combines elite academic training at Stanford in AI/ML, research work with renowned AI expert Sebastian Thrun, and current roles at both OpenAI and as CEO of Crossing Minds. While he shows significant potential, there isn't yet evidence of major exits or scale achievements that would qualify for higher levels. His technical depth and leadership position at a funded AI company, combined with OpenAI experience, places him solidly at L3.",,,
Alexandre R.,Crossing Minds,https://www.linkedin.com/in/alexandrerobicquet/en,L3,0.68,"Alexandre demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His background combines elite academic training at Stanford in AI/ML, research work with renowned AI expert Sebastian Thrun, and current technical role at OpenAI. While he's now leading Crossing Minds as CEO, there isn't clear evidence yet of major exits or scale achievements that would qualify for L4+. His profile shows deep technical expertise and management experience in AI/ML, which is the core criteria for L3 classification.",,,
Emile Contal,Crossing Minds,https://www.linkedin.com/in/emile-contal-72837652,L3,0.68,"Emile Contal demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His PhD in Statistical Learning from a prestigious institution (ENS Paris-Saclay) and experience at OpenAI as Technical Staff indicate deep technical expertise in AI/ML. While he's now a co-founder of Crossing Minds, his background is primarily technical/academic rather than showing multiple exits or large-scale company building that would qualify for higher levels. The combination of advanced academic credentials and experience at a leading AI research organization provides a solid foundation for technical entrepreneurship.",,,
Alecto AI,Alecto AI,https://www.linkedin.com/in/alecto-ai-5b3b4a21b,INSUFFICIENT_DATA,0.16000000000000003,"There is extremely limited verifiable information available about this founder. The only data point is their current role as CEO of Alecto AI, with no historical experience, education, or skills listed. The LinkedIn profile appears to be quite new or incomplete (based on the profile URL format). Without additional context about their background, achievements, company status, or career history, it's impossible to make a reliable classification using the L1-L10 framework.",,,
Breeze Liu,Alecto AI,https://www.linkedin.com/in/breeze-l-a8454082,L2,0.6400000000000001,"Based on available information, Breeze Liu appears to be an early-stage entrepreneur with significant policy impact but limited verified startup/scaling experience. While she has achieved notable recognition in advocacy and policy work, particularly around digital rights and online abuse, there isn't clear evidence of previous successful exits, major funding rounds, or extensive operational experience scaling companies. Her current venture Alecto AI appears to be her first significant entrepreneurial endeavor. The combination of her Berkeley education, policy influence, and Big Tech experience places her in the L2 category as an early-stage founder showing strong promise but still building track record in company scaling.",,,
Priyanka S.,Galen AI,https://www.linkedin.com/in/priyanka-shrestha-,L2,0.68,"The founder shows early-stage promise with strong educational credentials from Stanford (CS/AI) and acceptance into Y Combinator's X25 batch. The YC acceptance is particularly notable as it indicates passing through a highly selective process. However, Galen AI appears to be their first founder role, and there's no evidence of prior significant startup experience or exits. The Stanford MS in Computer Science with AI focus provides strong technical foundation, placing them above L1, but the limited entrepreneurial track record keeps them at L2.",,,
Viraj Mehta,Galen AI,https://www.linkedin.com/in/virajmehta28,L2,0.68,"Viraj Mehta shows characteristics of an L2 Early-Stage Entrepreneur based on several key factors: 1) Acceptance into Y Combinator's X25 batch, which is highly selective and indicates strong potential, 2) Advanced technical education from Stanford in Computer Science, demonstrating strong technical foundation, 3) Currently leading a YC-backed company as founder. While showing promising indicators, there isn't evidence yet of significant scale, exits, or extensive industry experience that would qualify for higher levels.",,,
Alex Chen,Nexa AI,https://www.linkedin.com/in/alexchenyu,INSUFFICIENT_DATA,0.24,"While the profile suggests some product and mobile internet experience, there is a severe lack of concrete, verifiable information about specific achievements, company names, product successes, or career timeline. The profile contains mostly general statements without backing evidence. Key missing elements include: specific companies worked at, product names launched, quantifiable metrics of success, clear career timeline, and verifiable achievements. The 'stealth startup' current role and vague descriptions make proper classification extremely difficult.",,,
Rita Ling,Nexa AI,https://www.linkedin.com/in/ziyuan-ling,L2,0.68,"Rita Ling shows characteristics of an early-stage entrepreneur with promising indicators but limited startup experience. Her background combines technical expertise in AI/ML with design leadership, and she has recognition through the IF Design Award. However, her experience is primarily focused on product design roles rather than previous founding experience. The 4+ years of experience and master's degree from Berkeley indicate she's beyond L1 but not yet at L3 which requires more extensive technical/management experience or exits.",,,
Zack Li,Nexa AI,https://www.linkedin.com/in/zack-z-li,L3,0.6400000000000001,"Based on the available information, Zack Li demonstrates characteristics of a Technical and Management Veteran (L3) due to his significant technical experience at major tech companies (Google and Amazon Lab126) and his current technical leadership role as CTO. His Stanford engineering master's degree and experience at top tech companies suggest strong technical capabilities. However, without clear information about total years of experience or specific achievements at Google/Amazon, we cannot confidently assign a higher level. The current venture (Nexa AI) appears to be his first founding role, and without clear traction or funding data, we cannot elevate the classification based on entrepreneurial track record.",,,
Juan Manuel Frangi,Nexa AI,https://www.linkedin.com/in/juan-manuel-frangi-b561b52,INSUFFICIENT_DATA,0.32000000000000006,"While the founder presents as experienced in business strategy and operations, there is a significant lack of concrete, verifiable information about specific achievements, company outcomes, or career milestones. The LinkedIn profile and provided information are notably sparse on details about company sizes, funding rounds, exits, or specific business outcomes. The current venture (Nexa AI) lacks clear metrics or stage information. Without more detailed employment history, company performance data, or verifiable achievements, a confident classification cannot be made.",,,
Mahmoud Felfel,Play AI,https://www.linkedin.com/in/mahmoud-felfel,L1,0.68,"Based on the available information, this founder appears to be a nascent entrepreneur at the beginning of their entrepreneurial journey. The profile shows limited professional experience with only one startup role listed (PlayAI co-founder). While they have a technical background with a Bachelor's in Electronics and Communications Engineering from Mansoura University, there's no evidence of prior startup experience, major exits, or significant company scale achievements. The current venture (PlayAI) appears to be their first entrepreneurial endeavor, which aligns with the L1 classification of a first-time founder with potential but limited proven track record.",,,
Hammad Syed,Play AI,https://www.linkedin.com/in/syed-hammad-ahmed,L1,0.6400000000000001,"Based on the extremely limited information available, this appears to be a first-time founder in an early-stage startup role. The profile shows only one position (current role as Co-Founder/COO at PlayAI) with no prior work experience or education history listed. The description 'Dabbling at the intersection of voice and AI' suggests early-stage experimentation rather than proven execution. The lack of detailed work history, education credentials, or demonstrated achievements aligns with the L1 classification of a nascent founder with potential but minimal proven experience.",,,
David Ha,Sakana AI,https://jp.linkedin.com/in/hardmaru,L6,0.68,"David Ha qualifies as a Market Innovator and Thought Leader (L6) based on his exceptional technical innovation track record and industry influence. He was previously a Research Scientist at Google Brain, where he made significant contributions to AI research. He has numerous highly-cited research papers and is recognized as a thought leader in machine learning. His current venture, Sakana AI, has attracted significant attention and investment from major players in the AI field. While Sakana AI is still early-stage, Ha's technical depth and industry recognition place him firmly at the L6 level.",,,
David Ha,Sakana AI,https://jp.linkedin.com/in/yosuke-nishimura-a9a062141/en,L3,0.6400000000000001,"David Ha appears to be a technical veteran with significant experience in data analytics and engineering at a major tech company (Amazon). His current role as Head of Data Analytics and Data Engineering at AmazonPay Japan indicates senior technical leadership experience. His education from The University of Tokyo (a prestigious institution) and progression to a leadership role at Amazon suggests substantial technical and management expertise. However, there's no evidence of prior startup exits or founding experience that would qualify for higher levels.",,,
David Ha,Sakana AI,https://jp.linkedin.com/in/kosuke-somemori,L1,0.68,"Based on the available information, this founder appears to be at the L1 (Nascent Founder) level. The profile shows very limited professional experience (just over 1 year at Arithmer), and they are currently described as an 'Aspiring U.S. Founder' which indicates they are at the beginning of their entrepreneurial journey. While they have strong educational credentials from The University of Tokyo (Master's degree), their professional track record is still in its early stages. The current role at Sakana AI and previous experience don't yet demonstrate significant scale or entrepreneurial achievements.",,,
David Ha,Sakana AI,https://www.linkedin.com/in/lulu-lee-121b1034,L1,0.68,"While David Ha has extensive experience in financial compliance and risk management, he appears to be a first-time founder with Sakana AI with no prior entrepreneurial track record. His background is primarily in corporate roles within financial institutions, specifically in compliance and regulatory functions. While this expertise is valuable, it doesn't demonstrate prior startup or company-building experience. The transition from corporate compliance to founding a startup places him in the nascent founder category, despite his professional experience in a different domain.",,,
Llion Jones,Sakana AI,https://jp.linkedin.com/in/llion-jones-9ab3064b,L6,0.68,"Llion Jones qualifies as a Market Innovator and Thought Leader (L6) based on his groundbreaking contributions to AI technology. As a co-author of the Transformer paper (>190,000 citations), he helped create one of the most fundamental architectures underlying modern AI. His recent venture Sakana AI has raised significant funding ($30M seed round) and is backed by major investors. His technical innovations have fundamentally influenced an entire industry, matching the L6 criteria for creating new markets and demonstrating thought leadership.",,,
Ren Ito,Sakana AI,https://uk.linkedin.com/in/renitomail,L6,0.68,"Ren Ito demonstrates exceptional leadership experience and proven ability to scale companies to unicorn status. His role as CEO of Mercari Europe (Japan's first unicorn) and co-founding Sakana AI (achieving unicorn status in just one year) shows clear pattern of success at the highest levels. His unique background as a senior diplomat and involvement in major international institutions adds significant strategic depth. The combination of successfully leading a unicorn company and then co-founding another that achieved unicorn status in record time places him solidly in the Market Innovator category, with potential for higher classification as Sakana AI continues to develop.",,,
