name,description,short_description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,ai_focus,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date
JustSpotted,JustSpotted.com is a real-time search engine that aggregates and organizes live updates on social media.,Acquired by Google in 2011,2008,765000.0,seed,Aj Asver|Benjamin Tauber|Dilan Dane,Y Combinator|Sv Angel|Avalon Ventures|Ronald Conway|Xg Ventures,Artificial Intelligence|ML,,,,"JustSpotted utilizes AI to aggregate and organize real-time data from various social media platforms, allowing users to track celebrity sightings and updates efficiently. The AI application focuses on indexing and mapping publicly available information to enhance user experience and engagement.",ai_consumer,http://www.justspotted.com,,https://www.crunchbase.com/organization/justspotted,https://www.ycombinator.com/companies/justspotted,2025-07-14 07:35:27.047154
Skyways,Skyways designs and manufactures long-range autonomous unmanned cargo aircraft systems for logistics and operational efficiency.,Creating a new form of air transportation.,2017,21120000.0,series_a,Charles Acknin|Chris Craighill,Y Combinator|Capital Factory|Leonid Capital Partners|Liquid 2 Ventures|Wind Capital,Air Taxis|Computer Vision|AI|ML,,,,"Skyways leverages artificial intelligence to enhance operational efficiency in industrial processes, focusing on automation, predictive analytics, and optimization of supply chains.",ai_industrials,http://skyways.com,https://www.linkedin.com/company/skyways-air-transportation-inc,https://www.crunchbase.com/organization/skyways,https://www.ycombinator.com/companies/skyways,2025-07-14 07:35:30.511888
Superb AI,"End-to-end training data platform that automates data preparation at scale and makes building datasets quick, systematic, and repeatable.",Superb AI provides end-to-end computer vision MLOps platform,2018,37872409.0,series_c,Hyun Kim|Hyundong Lee|Jonghyuk Lee|Jung Kwon Lee|Moonsu Cha,Y Combinator|Samsung Next|Venturesouq|Premier Partners|Pegasus Tech Ventures,AIOps|Artificial Intelligence|SaaS|B2B|ML,,,,"Superb AI focuses on providing enterprise-grade solutions for managing the entire machine learning lifecycle, emphasizing data-centric AI through automation and efficient workflows.",ai_computer_vision,https://www.superb-ai.com,https://www.linkedin.com/company/superb-ai/,https://www.crunchbase.com/organization/superb-ai,https://www.ycombinator.com/companies/superb-ai,2025-07-14 07:35:34.120669
DigiBuild,DigiBuild develops a construction management software that utilizes blockchain technology.,We buy & track building materials for construction companies.,2017,4125000.0,series_unknown,April Moss|Ivan Franco|Robert Salvador,Y Combinator|Draper Associates|Harvard University|Orange Dao|Picus Capital,Artificial Intelligence|SaaS|Supply Chain|AI|ML,,,,"DigiBuild utilizes large language models (LLMs) to streamline the procurement and management of building materials, addressing inefficiencies in the construction supply chain and helping contractors optimize their project schedules and budgets.",ai_construction,https://digibuild.com,https://www.linkedin.com/company/digibuild-software,https://www.crunchbase.com/organization/digibuild,https://www.ycombinator.com/companies/digibuild,2025-07-14 07:35:36.802782
Telmai,Telmai develops a centralized data observability platform for the data teams to detect and investigate anomalies.,Automated data observability and quality for Data Lake,2020,5625000.0,seed,Maxim Lukichev|Mona Rakibe,Y Combinator|Glasswing Ventures|.406 Ventures|Zetta Venture Partners,Analytics|AI|ML,,,,"Telmai utilizes AI to enhance data observability and quality by monitoring data in its raw format across various data systems, ensuring accuracy and reliability without the need for sampling.",ai_data_observability,https://www.telm.ai,https://www.linkedin.com/company/telmai,https://www.crunchbase.com/organization/telm-ai,https://www.ycombinator.com/companies/telmai,2025-07-14 07:35:40.361158
Emobi,Emobi is the leading EV charging ecosystem that offers a single point of integration.,A single point integration for secure and automated EV charging.,2020,1035000.0,seed,Lin Sun Fa,Y Combinator|Gaingels|Goodwater Capital|Collaborative Fund|James Park,Artificial Intelligence|API|Energy|Electric Vehicles|ML,,,,"Emobi utilizes AI to optimize the utilization of EV chargers across networks, ensuring seamless and efficient charging experiences for users. The technology automates the charging process, making it user-friendly and accessible without the need for additional hardware or software.",ai_energy,https://www.emobi.ai/,https://www.linkedin.com/company/emobi-ai/,https://www.crunchbase.com/organization/emobi-2b3b,https://www.ycombinator.com/companies/emobi,2025-07-14 07:35:44.189476
Elythea,Elythea is a machine learning platform to predict and prevent avoidable pregnancy complications.,ML to predict and prevent pregnancy complications,2022,593000.0,pre_seed,Reetam Ganguli,Y Combinator|Masschallenge|E Fest,Health Tech|Digital Health|Women's Health|AI|ML,,,,"Elythea utilizes proprietary machine learning models to identify life-threatening obstetric complications early in pregnancy by analyzing demographic and clinical risk factors, enabling timely interventions to prevent maternal mortalities.",ai_healthcare,https://elythea.org,https://www.linkedin.com/company/elythea/,https://www.crunchbase.com/organization/elythea,https://www.ycombinator.com/companies/elythea,2025-07-14 07:35:47.850758
Cair Health,Developer of artificial intelligence powered software designed to automate medical insurance workflows.,Predictive analytics and automation for medical claims,2023,,seed,Ishan Balakrishnan|Shehbaz Virk,Y Combinator|Foundation Capital|Sunstone Management|Nvo Capital|Evolution Ventures,Health Tech|Healthcare|Health Insurance|AI|ML,,,,"Cair Health is focused on leveraging artificial intelligence to improve healthcare outcomes, potentially through data analysis, patient management systems, or predictive analytics in healthcare settings.",ai_healthcare,https://www.cairhealth.com/,,https://www.crunchbase.com/organization/cair-health,https://www.ycombinator.com/companies/cair-health,2025-07-14 07:35:51.081210
truemetrics,truemetrics helps logistics companies find customers faster. Our technology maps entrances via a courier's handheld device.,We show couriers where to park and enter a building.,2021,29666.0,seed,David Wulff|Ingo Boegemann|Jan Bischof|Jegor Ivanov,Y Combinator|Pioneer Fund,Artificial Intelligence|Delivery|Logistics|ML,,,,"truemetrics utilizes AI to analyze sensor data from drivers' smartphones to identify and map precise parking and entrance locations, thereby optimizing the last meters of delivery for logistics companies.",ai_logistics,https://www.truemetrics.io,https://www.linkedin.com/company/truemetricsio,https://www.crunchbase.com/organization/truemetrics-4697,https://www.ycombinator.com/companies/truemetrics,2025-07-14 07:35:56.132269
Dragoneye,Dragoneye is a platform that enables developers to create powerful apps and features that leverage photos and videos.,More detailed object recognition than Google and Amazon,2023,500000.0,pre_seed,Alex Liao,Y Combinator,Artificial Intelligence|Developer Tools|Computer Vision|ML,,,,"Dragoneye provides AI technology that enables developers to build applications capable of recognizing and analyzing images and videos with high accuracy across more than 13,000 classes, eliminating the need for manual data annotation or machine learning expertise.",ai_image_recognition,https://dragoneye.ai,https://www.linkedin.com/company/dragoneyeai/,https://www.crunchbase.com/organization/dragoneye,https://www.ycombinator.com/companies/dragoneye,2025-07-14 07:35:59.268017
RunLocal AI,"RunLocal helps engineering team ship better on-device AI, faster and without the hassle.",The On-Device AI Development Platform,2024,500000.0,pre_seed,Ciarán O' Rourke|Ismail Salim|Ivan Chan,Y Combinator,Artificial Intelligence|Developer Tools|ML,,,,"RunLocal AI focuses on enabling engineering teams to integrate and deploy on-device AI solutions more efficiently, enhancing the development process with tools that reduce complexity and increase reliability.",ai_general,https://www.runlocal.ai/,https://www.linkedin.com/company/runlocalai/,https://www.crunchbase.com/organization/neuralize,https://www.ycombinator.com/companies/runlocal-ai,2025-07-14 07:36:01.965296
jazzberry projects,jazzberry projects is an event management company.,Training LLMs to be expert bug finders,,,unknown,,,Developer Tools|Reinforcement Learning|SaaS|AI|ML,,,,"Jazzberry is developing an AI agent that automates the debugging process by orchestrating various debugging tools and executing code to identify bugs, enhancing the efficiency of software development.",ai_development_tools,https://www.jazzberry.de,https://www.linkedin.com/company/jazzberry-projects-gmbh,https://www.crunchbase.com/organization/jazzberry-projects,https://www.ycombinator.com/companies/jazzberry,2025-07-14 07:36:04.892027
Godel Technologies,"Godel Technologies is an agile nearshore development company, working with clients to provide high performing software development.",AI Physics Engine to replace simulations and prototypes,2002,,unknown,Terry Bland,,AI-powered Drug Discovery|Artificial Intelligence|Manufacturing|Aerospace|ML,,,,"Godela utilizes AI to create a physics engine that allows for rapid modeling of experiments, providing simulation quality results without the need for traditional setup or waiting times.",ai_engineering,http://www.godeltech.com,https://www.linkedin.com/company/godel-technologies-europe,https://www.crunchbase.com/organization/godel-technologies,https://www.ycombinator.com/companies/godela,2025-07-14 07:36:07.823472
Juxta,Juxta is a healthcare logistics platform that empowers hospitals to optimize operational efficiency.,Building a GPS alternative 100x more powerful with no hardware needed.,2024,652000.0,pre_seed,Hasan Aybars Ari|John Ferrara,,Indoor Mapping|Computer Vision|ML,,,,Juxta utilizes custom machine learning models and synthetic fingerprinting technology to create a Universal Positioning System that enables precise location tracking without the need for new hardware or extensive internet connectivity.,ai_geospatial,https://www.usejuxta.org/,https://www.linkedin.com/company/use-juxta/,https://www.crunchbase.com/organization/juxta-96e9,https://www.ycombinator.com/companies/juxta,2025-07-14 07:36:11.968562
